"id","brand","description","name","price","quantity","release_date","available","image","category","rating"
53,"J.R.R. Tolkien","The Hobbit is a fantasy novel about a hobbit’s adventure. Rich in detail and imaginative storytelling. Introduces readers to Middle-earth. A beloved classic in fantasy literature.","The Hobbit","22.00",150,"2022-11-30",True,"../Images/product-23.png","Books","4"
54,"Aldous Huxley","Brave New World is a novel about a dystopian society. Explores themes of technology and control. Thought-provoking and relevant. Continues to be a critical exploration of modernity.","Brave New World","17.00",160,"2023-02-01",True,"../Images/product-24.png","Books","3"
55,"Rolex","Rolex Submariner is a classic diving watch. Features robust and reliable construction. Suitable for professional diving and everyday wear. Renowned for its precision and luxury.","Rolex Submariner","8000.00",50,"2022-10-20",True,"../Images/product-25.png","Watches","4"
56,"Omega","Omega Speedmaster is an iconic chronograph. Associated with the moon landing history. Combines style and functionality. A symbol of precision and durability.","Omega Speedmaster","5000.00",70,"2023-05-10",True,"../Images/product-26.png","Watches","4"
57,"Casio","Casio G-Shock is a durable digital watch. Features multiple functions for various needs. Shock-resistant and waterproof. Ideal for outdoor and adventurous activities.","Casio G-Shock","80.00",200,"2023-04-15",False,"../Images/product-27.png","Watches","3"
58,"Tag Heuer","Tag Heuer Carrera is a luxury watch with sleek design. Combines elegance with performance. Features precision engineering. Suitable for both formal and casual wear.","Tag Heuer Carrera","3000.00",60,"2022-12-05",True,"../Images/product-28.png","Watches","4"
59,"Swatch","Swatch Irony is a stylish watch with a unique design. Combines fun and functionality. Lightweight and comfortable to wear. A perfect accessory for any outfit.","Swatch Irony","150.00",130,"2022-08-25",True,"../Images/product-29.png","Watches","3"
60,"Fossil","Fossil Q Marshal is a smartwatch with a classic design. Features various smart functions. Compatible with both Android and iOS. A blend of traditional and modern styles.","Fossil Q Marshal","250.00",140,"2023-06-20",False,"../Images/product-30.png","Watches","2"
61,"Michael Kors","Michael Kors Access is a fashionable smartwatch. Offers numerous features for daily use. Stylish design fits any occasion. A blend of luxury and technology.","Michael Kors Access","300.00",100,"2023-01-10",True,"../Images/product-31.png","Watches","4"
62,"Garmin","Garmin Fenix 6 is a multi-sport GPS watch. Features advanced tracking for various activities. Durable and water-resistant. Ideal for athletes and outdoor enthusiasts.","Garmin Fenix 6","600.00",90,"2022-11-15",True,"../Images/product-32.png","Watches","4"
